site_name,Year,n,site_year
nwis_02169000,2010,0.9041095890410958,nwis_02169000_2010
nwis_02169000,2011,0.9506849315068493,nwis_02169000_2011
nwis_02169000,2012,0.9041095890410958,nwis_02169000_2012
nwis_02169000,2013,0.8767123287671232,nwis_02169000_2013
nwis_02169000,2014,0.9178082191780822,nwis_02169000_2014
nwis_04137500,2009,0.947945205479452,nwis_04137500_2009
nwis_04137500,2010,0.9534246575342465,nwis_04137500_2010
nwis_04137500,2011,0.9205479452054794,nwis_04137500_2011
nwis_04137500,2012,0.9397260273972603,nwis_04137500_2012
nwis_04137500,2013,0.8986301369863013,nwis_04137500_2013
nwis_04137500,2014,0.8794520547945206,nwis_04137500_2014
nwis_04249000,2011,0.9178082191780822,nwis_04249000_2011
nwis_04249000,2012,0.9068493150684932,nwis_04249000_2012
nwis_04249000,2013,0.947945205479452,nwis_04249000_2013
nwis_04249000,2014,0.9643835616438357,nwis_04249000_2014
nwis_04249000,2015,0.9287671232876712,nwis_04249000_2015
nwis_04249000,2016,0.9178082191780822,nwis_04249000_2016
nwis_05435943,2009,0.8575342465753425,nwis_05435943_2009
nwis_05435943,2010,0.9013698630136986,nwis_05435943_2010
nwis_05435943,2011,0.958904109589041,nwis_05435943_2011
nwis_05435943,2012,0.9835616438356164,nwis_05435943_2012
nwis_05435943,2013,0.915068493150685,nwis_05435943_2013
nwis_05435943,2014,0.8876712328767123,nwis_05435943_2014
nwis_05435943,2015,0.9506849315068493,nwis_05435943_2015
nwis_05435943,2016,0.8904109589041096,nwis_05435943_2016
nwis_08180700,2008,0.9205479452054794,nwis_08180700_2008
nwis_08180700,2009,0.9315068493150684,nwis_08180700_2009
nwis_08180700,2010,0.9095890410958904,nwis_08180700_2010
nwis_08180700,2011,0.9424657534246575,nwis_08180700_2011
nwis_08211200,2009,0.9232876712328767,nwis_08211200_2009
nwis_08211200,2010,0.9123287671232877,nwis_08211200_2010
nwis_08211200,2011,0.947945205479452,nwis_08211200_2011
nwis_08211200,2012,0.9287671232876712,nwis_08211200_2012
nwis_08211200,2013,0.8712328767123287,nwis_08211200_2013
nwis_08211200,2014,0.9452054794520548,nwis_08211200_2014
nwis_10129900,2009,0.873972602739726,nwis_10129900_2009
nwis_10129900,2010,0.9123287671232877,nwis_10129900_2010
nwis_10129900,2011,0.9397260273972603,nwis_10129900_2011
nwis_10129900,2012,0.8958904109589041,nwis_10129900_2012
nwis_10129900,2013,0.9287671232876712,nwis_10129900_2013
nwis_10129900,2014,0.9095890410958904,nwis_10129900_2014
nwis_10129900,2015,0.9315068493150684,nwis_10129900_2015
nwis_10129900,2016,0.947945205479452,nwis_10129900_2016
nwis_10133800,2008,0.8657534246575342,nwis_10133800_2008
nwis_10133800,2009,0.9232876712328767,nwis_10133800_2009
nwis_10133800,2010,0.9452054794520548,nwis_10133800_2010
nwis_10133800,2011,0.9287671232876712,nwis_10133800_2011
nwis_10133800,2012,0.9342465753424658,nwis_10133800_2012
nwis_10133800,2013,0.9315068493150684,nwis_10133800_2013
nwis_10133800,2014,0.9260273972602739,nwis_10133800_2014
nwis_10133800,2015,0.947945205479452,nwis_10133800_2015
